Tag,AvgAbsDisplacementHorizontal,AvgAbsDisplacementY,AvgRPM,AvgSteerBias,AvgAbsSteer,AvgSpeedForward,AvgAbsSpeedForward,AvgSpeedSidewardBias,AvgAbsSpeedSideward,AvgSpeedSidewardOppSteer,PercentPitchLowerThird,PercentPitchMiddleThird,PercentPitchUpperThird,PercentRollLowerThird,PercentRollMiddleThird,PercentRollUpperThird,PercentTurbo
Normal,5.248021296228846,1.2218112638744527,8408.841846486464,0.09636154228990729,0.5220929032022302,218.20151119436173,218.20386121107296,0.8032634551512366,3.565465916924298,0.2727272727272727,1,0,0,1,0,0,0
Normal,6.228327478466005,0.19171710014343263,8146.801818277234,0.07575590996727394,0.46006963520406563,250.12778282165527,250.18836164028846,0.2301200320044782,0.6641206830461449,0.4517133956386293,0.9190031152647975,0.037383177570093455,0.04361370716510903,1,0,0,0.03115264797507788
Normal,10.075673413251417,2.2387511612344606,10349.475535904887,0.223440116225429,0.3989507756151782,445.944984729195,446.4275976430759,1.6917213859775262,2.32286914340459,0.18026565464895636,0.7438330170777988,0.16318785578747627,0.09297912713472485,0.8747628083491461,0.1252371916508539,0,0.1252371916508539
Normal,9.548621608195967,0.18436689433261488,10046.766297360684,0.3392666757952237,0.39364019825385255,408.71914526305864,408.72018415933525,2.378349646890699,2.4450843035470227,0.6099290780141844,1,0,0,1,0,0,0
Normal,5.776110159388918,0.6341193003197239,7993.49115090292,0.10200364293296481,0.7686703095996315,238.36764898977646,238.44239204177438,2.3327970244193987,4.050641836364413,0.6612021857923497,0.9781420765027322,0.00273224043715847,0.01912568306010929,0.9890710382513661,0.01092896174863388,0,0
Normal,5.605273015417322,0.6683205641233004,8698.76574980032,0.15702562191234992,0.30942805220905584,215.91748058453155,215.92028859172004,1.0599895635732828,1.337088392946286,0.2715654952076677,1,0,0,1,0,0,0.04153354632587859
Normal,6.197294866922418,0.31498201816312726,8320.376187604867,0.41388077383873445,0.7753809711277085,250.75232910053842,250.7535088404713,3.597789871932676,5.57146577771078,0.5677852348993289,0.9973154362416108,0.0013422818791946308,0.0013422818791946308,0.9973154362416108,0.0026845637583892616,0,0
Normal,7.983738256107577,0.706372942949206,8702.403519662468,0.10484875403633413,0.5803617650224256,320.8396015955804,320.8418726711618,1.7481635830507105,4.037014115996447,0.627906976744186,1,0,0,1,0,0,0.059431524547803614
Normal,10.772048166300731,1.481513436042991,10297.066879398566,0.11255873986019575,0.48228812525587633,452.8458628496848,452.8476787716889,3.4469624669098655,7.266507235440341,0.512396694214876,0.9173553719008265,0.04338842975206612,0.03925619834710744,0.9896694214876033,0.010330578512396695,0,0.10537190082644628
Normal,6.500032600218319,0.5236396821715177,8567.389032280405,0.1138575295807938,0.8423714266481624,261.7054716071697,261.70695124732123,0.4941461736505682,6.863424076375736,0.6936026936026936,1,0,0,1,0,0,0.09090909090909091
Normal,6.674362427596912,0.5335568003246566,8545.192750459559,0.2740715098731658,0.757185699133312,262.6168538093567,262.61943882773903,0.868686092601103,2.8233635397518384,0.6352941176470588,1,0,0,1,0,0,0
Normal,4.3335943754462685,0.5307744958006614,8490.822959750307,0.049480969025418646,0.28712033816412386,193.32770143147388,193.3291375527974,0.4034161536522161,4.951550352807138,0.20915032679738563,0.9248366013071896,0.027777777777777776,0.04738562091503268,1,0,0,0.024509803921568627
Normal,5.620783598631192,0.5079246217554266,8330.655781854059,0.3014109698767515,0.3608894393616116,227.91994691042555,228.5698500407111,1.327659245127255,1.451303887121456,0.32783505154639175,0.9567010309278351,0.04329896907216495,0,1,0,0,0.041237113402061855
Normal,8.459990145841775,1.0464548641543308,9430.202662417763,0.0690120937721581,0.5102542547517986,328.5526098817159,328.554712528247,2.1756133303117524,6.418643641129635,0.15789473684210525,0.9234449760765551,0.06698564593301436,0.009569377990430622,0.930622009569378,0.06937799043062201,0,0.12679425837320574
Normal,4.924101908723655,0.13269775132259048,8352.459788488963,0.4388422036454791,0.5849673201640447,194.17935310091292,194.1828408241272,3.8530220152839783,4.885184636191716,0.06349206349206349,1,0,0,1,0,0,0.0873015873015873
Normal,5.969525728909367,1.4597669798752357,8580.26422001008,0.09471642432674285,0.47732658642594533,271.1696229216873,271.171513042655,0.7137591618363576,2.341125225764449,0.1827956989247312,0.8580645161290322,0.06881720430107527,0.07311827956989247,1,0,0,0.1032258064516129
Normal,6.388169196043722,0.5326128163353445,8766.770361649362,0.10804953543763411,0.2922600617534236,264.3146720873682,264.31756322634845,0.23882333855879934,0.7424693860505757,0.40131578947368424,1,0,0,1,0,0,0
Normal,5.218508124729451,0.6509106394856475,9103.232012257347,0.19130311034760386,0.3335382337148027,229.7027643782307,229.70404000413782,2.8572492225768777,4.891809117465303,0.24238026124818576,0.9912917271407837,0.008708272859216255,0,1,0,0,0.040638606676342524
Normal,16.405050668700127,1.7625534550384319,10564.711280381944,0.00013943341043260363,0.4001394334104326,673.049547674391,673.051500799391,1.2801312934027778,8.878448893229166,0.30666666666666664,0.78,0.17333333333333334,0.04666666666666667,0.7377777777777778,0.26222222222222225,0,0.17333333333333334
Normal,9.662230800552138,2.0044203360739132,10192.043608364993,0.11479989245329818,0.5463067417683667,414.0437708325582,414.0452758090137,1.6231535820111835,5.96632730144344,0.15753424657534246,0.8424657534246576,0.10445205479452055,0.053082191780821915,0.9075342465753424,0.09246575342465753,0,0.11472602739726027
